request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
ORD-001,L002,L007,Hot Meal (Jollof),5,2026-08-01T12:00,2026-08-01T12:30,NEW
ORD-002,L006,L008,Gobə Special,4,2026-08-01T12:05,2026-08-01T12:35,NEW
ORD-003,L004,L009,Express Burger Meal,3,2026-08-01T12:10,2026-08-01T12:50,NEW
ORD-004,L001,L009,Fried Rice Family Pack,4,2026-08-01T12:15,2026-08-01T13:00,NEW
ORD-005,L003,L010,Banku & Tilapia,5,2026-08-01T12:20,2026-08-01T12:55,NEW
ORD-006,L013,L027,Chicken Bucket,4,2026-08-01T12:25,2026-08-01T12:55,NEW
ORD-007,L019,L028,Jollof Combo,5,2026-08-01T12:28,2026-08-01T13:03,ASSIGNED
ORD-008,L014,L035,Pepperoni Pizza,3,2026-08-01T12:31,2026-08-01T13:11,PREPARING
ORD-009,L020,L044,Chicken Wrap Meal,4,2026-08-01T12:34,2026-08-01T13:09,PICKED_UP
ORD-010,L017,L043,Chinese Fried Rice,5,2026-08-01T12:37,2026-08-01T13:12,IN_TRANSIT
ORD-011,L018,L042,Healthy Salad Bowl,2,2026-08-01T12:40,2026-08-01T13:10,DELIVERED
ORD-012,L021,L041,Chicken Fried Rice,3,2026-08-01T12:43,2026-08-01T13:18,NEW
ORD-013,L022,L009,Coffee & Pastry Combo,1,2026-08-01T12:46,2026-08-01T13:16,DELIVERED
ORD-014,L023,L045,Grilled Chicken Pack,4,2026-08-01T12:49,2026-08-01T13:24,ASSIGNED
ORD-015,L024,L030,Local Breakfast Combo,2,2026-08-01T12:52,2026-08-01T13:22,DELIVERED
ORD-016,L025,L040,Waakye Deluxe,5,2026-08-01T12:55,2026-08-01T13:30,PREPARING
ORD-017,L026,L039,Special Waakye Pack,4,2026-08-01T12:58,2026-08-01T13:33,NEW
ORD-018,L013,L032,Zinger Burger Combo,3,2026-08-01T13:01,2026-08-01T13:36,PICKED_UP
ORD-019,L014,L036,BBQ Chicken Pizza,5,2026-08-01T13:04,2026-08-01T13:49,IN_TRANSIT
ORD-020,L015,L010,Crispy Chicken Meal,4,2026-08-01T13:07,2026-08-01T13:42,DELIVERED
ORD-021,L016,L037,Family Pizza Box,3,2026-08-01T13:10,2026-08-01T13:45,ASSIGNED
ORD-022,L017,L041,Sweet & Sour Chicken,2,2026-08-01T13:13,2026-08-01T13:43,CANCELLED
ORD-023,L018,L042,Protein Bowl,2,2026-08-01T13:16,2026-08-01T13:46,NEW
ORD-024,L019,L034,Jollof Family Pack,5,2026-08-01T13:19,2026-08-01T13:59,PREPARING
ORD-025,L020,L035,Chicken Rice Box,3,2026-08-01T13:22,2026-08-01T13:57,DELIVERED
ORD-026,L021,L043,Seafood Fried Rice,4,2026-08-01T13:25,2026-08-01T14:05,PICKED_UP
ORD-027,L022,L009,Latte & Croissant,1,2026-08-01T13:28,2026-08-01T13:58,DELIVERED
ORD-028,L023,L038,Grilled Tilapia Meal,5,2026-08-01T13:31,2026-08-01T14:11,IN_TRANSIT
ORD-029,L024,L008,Beans & Plantain Combo,2,2026-08-01T13:34,2026-08-01T14:04,NEW
ORD-030,L001,L009,Chicken Fried Rice,4,2026-08-01T13:37,2026-08-01T14:17,ASSIGNED
ORD-031,L002,L027,Hot Meal (Jollof),5,2026-08-01T13:40,2026-08-01T14:10,PREPARING
ORD-032,L003,L010,Fufu & Light Soup,5,2026-08-01T13:43,2026-08-01T14:23,IN_TRANSIT
ORD-033,L004,L035,Double Burger Combo,3,2026-08-01T13:46,2026-08-01T14:21,PICKED_UP
ORD-034,L005,L029,Waakye Combo XL,4,2026-08-01T13:49,2026-08-01T14:29,DELIVERED
ORD-035,L006,L031,Gobɛ Supreme,5,2026-08-01T13:52,2026-08-01T14:27,NEW
ORD-036,L013,L028,Chicken Nuggets Meal,2,2026-08-01T13:55,2026-08-01T14:30,ASSIGNED
ORD-037,L014,L044,Vegetarian Pizza,2,2026-08-01T13:58,2026-08-01T14:33,DELIVERED
ORD-038,L015,L009,Spicy Chicken Combo,4,2026-08-01T14:01,2026-08-01T14:41,PICKED_UP
ORD-039,L016,L045,Beef Pizza Feast,3,2026-08-01T14:04,2026-08-01T14:44,PREPARING
ORD-040,L017,L043,Chicken Noodles Combo,2,2026-08-01T14:07,2026-08-01T14:42,NEW
ORD-041,L018,L042,Fresh Fruit Bowl,1,2026-08-01T14:10,2026-08-01T14:40,DELIVERED
ORD-042,L019,L033,Special Jollof Box,5,2026-08-01T14:13,2026-08-01T14:53,IN_TRANSIT
ORD-043,L020,L036,Chicken Wings Bucket,4,2026-08-01T14:16,2026-08-01T14:51,ASSIGNED
ORD-044,L021,L041,Beef Fried Rice,3,2026-08-01T14:19,2026-08-01T14:54,DELIVERED
ORD-045,L022,L010,Mocha & Muffin Combo,1,2026-08-01T14:22,2026-08-01T14:52,CANCELLED
ORD-046,L023,L037,Grilled Meat Pack,5,2026-08-01T14:25,2026-08-01T15:05,PREPARING
ORD-047,L024,L030,Ampesi & Fish,3,2026-08-01T14:28,2026-08-01T15:03,NEW
ORD-048,L025,L040,Fried Yam & Chicken,4,2026-08-01T14:31,2026-08-01T15:06,PICKED_UP
ORD-049,L026,L039,Banku & Okro,5,2026-08-01T14:34,2026-08-01T15:14,IN_TRANSIT
ORD-050,L013,L027,Family Chicken Bucket,5,2026-08-01T14:37,2026-08-01T15:17,ASSIGNED
ORD-051,L014,L035,Seafood Pizza,3,2026-08-01T14:40,2026-08-01T15:20,DELIVERED
ORD-052,L015,L009,Chicken Rice Deluxe,4,2026-08-01T14:43,2026-08-01T15:18,NEW
ORD-053,L016,L038,Pepperoni Feast,5,2026-08-01T14:46,2026-08-01T15:26,PREPARING
ORD-054,L017,L042,Chinese Noodles Special,3,2026-08-01T14:49,2026-08-01T15:24,PICKED_UP
ORD-055,L018,L041,Healthy Protein Meal,2,2026-08-01T14:52,2026-08-01T15:22,DELIVERED
ORD-056,L019,L028,Jollof Supreme,5,2026-08-01T14:55,2026-08-01T15:30,PREPARING
ORD-057,L020,L044,Chicken Burger Deluxe,4,2026-08-01T14:58,2026-08-01T15:33,ASSIGNED
ORD-058,L021,L043,Special Fried Rice,3,2026-08-01T15:01,2026-08-01T15:36,DELIVERED
ORD-059,L022,L009,Espresso & Sandwich,2,2026-08-01T15:04,2026-08-01T15:34,NEW
ORD-060,L023,L045,Grilled Tilapia Combo,5,2026-08-01T15:07,2026-08-01T15:47,IN_TRANSIT
ORD-061,L024,L030,Plantain & Beans,2,2026-08-01T15:10,2026-08-01T15:40,PICKED_UP
ORD-062,L025,L040,Waakye Mega Pack,4,2026-08-01T15:13,2026-08-01T15:48,ASSIGNED
ORD-063,L026,L039,Banku & Pepper,3,2026-08-01T15:16,2026-08-01T15:51,DELIVERED
ORD-064,L013,L031,Chicken Fillet Meal,4,2026-08-01T15:19,2026-08-01T15:54,NEW
ORD-065,L014,L035,Cheese Lovers Pizza,5,2026-08-01T15:22,2026-08-01T16:02,PREPARING
ORD-066,L015,L010,Family Chicken Box,4,2026-08-01T15:25,2026-08-01T16:00,IN_TRANSIT
ORD-067,L016,L037,BBQ Beef Pizza,3,2026-08-01T15:28,2026-08-01T16:08,PICKED_UP
ORD-068,L017,L041,Shrimp Fried Rice,2,2026-08-01T15:31,2026-08-01T16:01,DELIVERED
ORD-069,L018,L042,Healthy Chicken Salad,2,2026-08-01T15:34,2026-08-01T16:04,NEW
ORD-070,L001,L009,Fried Rice Special,5,2026-08-01T15:37,2026-08-01T16:12,ASSIGNED
ORD-071,L002,L027,Hot Meal (Jollof XL),5,2026-08-01T15:40,2026-08-01T16:15,PREPARING
ORD-072,L003,L010,Banku & Okro Soup,4,2026-08-01T15:43,2026-08-01T16:23,IN_TRANSIT
ORD-073,L004,L035,Double Beef Burger,3,2026-08-01T15:46,2026-08-01T16:21,PICKED_UP
ORD-074,L005,L029,Waakye Family Combo,4,2026-08-01T15:49,2026-08-01T16:29,DELIVERED
ORD-075,L006,L032,Gobɛ Family Pack,5,2026-08-01T15:52,2026-08-01T16:27,NEW
ORD-076,L013,L028,Chicken Wrap Combo,3,2026-08-01T15:55,2026-08-01T16:30,ASSIGNED
ORD-077,L014,L044,Meat Lovers Pizza,5,2026-08-01T15:58,2026-08-01T16:38,PREPARING
ORD-078,L015,L009,Chicken Nuggets Bucket,4,2026-08-01T16:01,2026-08-01T16:36,IN_TRANSIT
